COUNTRY,LOCATION,SITE_NAME,LATITUDE,LONGITUDE,MONTH,YEAR,DEPTH,SEVERITY_CODE,PERCENT_BLEACHED,MORTALITY_CODE,PERCENT_MORTALITY,SURVEY_TYPE,SOURCE,NAME,CITATION,COMMENTS,ENTRY_CODE,DATABASE_CODE
Bahamas,Little San Salvador ( Little Island ),,24.5660,-75.9333,NA,1987,20,-1,20,NA,,,"ReefBase old database
(Williams, E.H. Jr. and L. Bunkley- Williams, The world wide coral reef bleaching cycle and related sources of coral mortality., Atoll Res. Bull. 335:1-71.)",,,"Extent Unspecified, Some Mortality",,1
British West Indies,Cayman Islands,,19.2750,-81.3490,5,1988,12m,3,56,NA,,Drill sample,"Hayes, R.L. and Bush, P.G. 1990","Hayes, R.L. and Bush, P.G.",,,EH,2
French Polynesia,Moorea,,-17.5750,-149.7833,3,1991,14,3,50.7,NA,,,ReefBase,,,The bleaching event was attributed to rise in sea surface temperature in addition to other climatic and hydroclimatic changes. Approx 17.3% of affected corals died.,,1
Micronesia,Majuro Atoll,Site 4B,7.0700,171.2950,5,1993,0-2m,3,62,NA,,,"Pauley and Benayahu, 1999","Pauley and Benayahu, 1999",,,EH,2
American Samoa,Tutuila Island,Upper Reef,-14.3000,-170.7000,3,1994,7 Ð 10,2,15,NA,,Observation,,"Craig, Peter",,Occasional snorkelling and diving. A range of percentage bleaching was given (5-25%). Mean average was taken.,SBU,2
French Polynesia,Arue,,-17.5167,-149.5333,3,1994,8,2,42,NA,,,ReefBase,,,"42% bleaching was observed at transect A2 (pass) and 34% at transect A1 (outer reef slope).  Four families of coral bleached strongly at A2 (i.e. Fungiidae, 82%; Faviidae, 57%; Acroporidae, 50%; Pocilloporidae, 47%), whereas only two families (i.e. Acropo",,1
French Polynesia,Tahiti,,-17.6667,-149.4500,3,1994,8,2,42,NA,,,ReefBase,,,"Six months after the beginning of the 1994 bleaching event, most colonies had completely recovered, and there was no mortality along transects, although a few dead colonies of arborescent Acroporidae were noted in the vicinity of the transects. Also repor",,1
American Samoa,Tutuila Island,Upper Reef,-14.3000,-170.7000,4,1994,7 Ð 10,2,15,NA,,Observation,,"Craig, Peter",,Occasional snorkelling and diving. A range of percentage bleaching was given (5-25%). Mean average was taken.,SBU,2
French Polynesia,Moorea,,-17.5750,-149.7833,4,1994,,3,72.38,NA,,,ReefBase,,,Three sites along the outer reef slope along the north shore of Moorea were examined with the NE side of the island as most seriously bleached. There was extensive bleaching at all three sites (39.6 - 72.4 % of all corals bleached). The extent of bleachin,,1
French Polynesia,Tuamotu Islands,Takapoto,-14.6990,-145.2460,7,1994,,1,10,NA,,,,"Goreau, TJ and Hayes, RL",,,EH,2
French Polynesia,Tuamotu Islands,Nengo Nengo North,-18.7050,-141.8320,7,1994,,1,10,NA,,,,"Goreau, TJ and Hayes, RL",,,EH,2
French Polynesia,Tuamotu Islands,Nengo Nengo North,-18.7420,-141.7970,7,1994,,1,10,NA,,,,"Goreau, TJ and Hayes, RL",,,EH,2
Cook Islands,Rarotonga,,-21.2017,-159.7758,NA,1994,,2,20,NA,,,ReefBase,,, Partial bleaching,,1
PNG,Milne Bay Province,Site 1,-10.2370,150.6980,2,1996,0-20m +,3,98.5,NA,11.5,,Davies J. et al. (1996),"Davies, J. M., R. P. Dunne and B. E. Brown",,,EH,2
PNG,Milne Bay Province,Site 10,-10.2300,150.7950,2,1996,0-20m +,2,43.5,NA,2.5,,Davies J. et al. (1996),"Davies, J. M., R. P. Dunne and B. E. Brown",,,EH,2
PNG,Milne Bay Province,Site 4,-10.0370,150.8340,2,1996,0-20m +,3,95,NA,80,,Davies J. et al. (1996),"Davies, J. M., R. P. Dunne and B. E. Brown",,,EH,2
PNG,Milne Bay Province,Site 5,-9.9680,150.8420,2,1996,0-20m +,3,53,NA,53,,Davies J. et al. (1996),"Davies, J. M., R. P. Dunne and B. E. Brown",,,EH,2
PNG,Milne Bay Province,Site 6,-10.2020,150.8640,2,1996,0-20m +,3,63,NA,25,,Davies J. et al. (1996),"Davies, J. M., R. P. Dunne and B. E. Brown",,,EH,2
PNG,Milne Bay Province,Site 11,-10.2270,150.8870,2,1996,0-20m +,1,5,NA,4,,Davies J. et al. (1996),"Davies, J. M., R. P. Dunne and B. E. Brown",,,EH,2
PNG,Milne Bay Province,Site 8,-10.3050,151.0520,2,1996,0-20m +,1,13,NA,0,,Davies J. et al. (1996),"Davies, J. M., R. P. Dunne and B. E. Brown",,,EH,2
French Polynesia,Moorea,,-17.5750,-149.7833,2,1996,9,2,27,NA,,,ReefBase,,,"The bleaching does not  appear to have gained in intensity since it was first noticed in February.  By March 27% of all coral colonies  at a depth of 9 m, on the outer reef slope on the north coast of Moorea, were affected, with 17% partly bleached and 10",,1
United Arab Emirates,Jebel Ali to Ras Hasyan,,25.1330,54.9100,6,1996,,3,100,3,"Coral death was widespread, live coral cover reduced form 90% to 26%.  Acropora suffered total mortality, species reduced to 27 form 34",10m line transect and line point transect in 1m interval for 50 m,"Riegel, B. 2002.  Effects of the 1996 and 1998 positive sea-surface temperature anomalies on corals, coral diseases and fish in the Arabian Gulf (Dubai, UAE). Marine Biology 140: 29-40",,,widespread for Acropora and had negligible effect on other taxa,,1
U.S. Minor Outlying Islands,Johnston Atoll,,16.7700,-169.5010,9,1996,0-5 m,2,17.5,NA,,,Cohen et al. 1997,"Anne Cohen, Phillip S Lobel, Gabrielle S Tomasky ",,% bleached represents 15-20% range,EH,2
Minor Outlying Islands,Johnston Atoll,,16.7140,-169.5560,9,1996,,2,35.1670325,NA,56.3059211,,Cohen et al. 1997,"Anne Cohen, Phillip S Lobel, Gabrielle S Tomasky ",,,EH,2
Minor Outlying Islands,Johnston Atoll,,16.7330,-169.5460,9,1996,,2,35.1670325,NA,56.3059211,,Cohen et al. 1997,"Anne Cohen, Phillip S Lobel, Gabrielle S Tomasky ",,,EH,2
Minor Outlying Islands,Johnston Atoll,,16.7370,-169.5340,9,1996,,2,35.1670325,NA,56.3059211,,Cohen et al. 1997,"Anne Cohen, Phillip S Lobel, Gabrielle S Tomasky ",,,EH,2
Minor Outlying Islands,Johnston Atoll,,16.7440,-169.5120,9,1996,,2,35.1670325,NA,56.3059211,,Cohen et al. 1997,"Anne Cohen, Phillip S Lobel, Gabrielle S Tomasky ",,,EH,2
Bahrain,Abul Thalma,,26.2750,50.9400,10,1996,,3,100,2,One third was being colonized or had recently been colonized by algae (dead).,Underwater photograph and video,"Uwate, K.R., J. Almeshkhas and H. Almahgani, 1997
Field observation of coral bleaching in Bahrain in 1996. Directorate of Fisheries, Ministry of Works and Agricalture, State of Bahrain.",,,"One third of coral belached, one third was in the process of recovering and the remaining one third was being colonized or had recently been colonized by algae (dead).
Acropora arabensis - most coral are in the prosecc of recovery.
A. clathata - Some coral bleached, others were partially or totally pigmented. 
Pocillopora damicornis - all coral bleached
Platygyra daedalea - none bleached
Porites lobata - all coral bleached
Favia pallida - All coral bleached",,1
Thailand,Phuket,,8.0000,98.3300,5,1997,Reef flat and fore reef slope,1,4,NA,,"line intercept transect, annually
5 permanently marked line transect 10 x 1 m (photograthy)","Dunne, R.P. & B.E. Brown. 2001. The influence of solar radiation on bleaching of shallow water reef corals in the Andaman Sea, 1993-1998.  Coral Reef 20:201-210",,,no widespread bleaching,,1
Torres Strait & Great Barrier Reef,Great Barrier Reef,,-17.5000,147.0000,2,1998,,3,87,NA,,,ReefBase,,,"This bleaching appeared to be  a combined effect of raised temperatures, exacerbated in the central GBR by massive flows of rainwater in January. Soft corals were extensively bleached on these inner reefs. In the upper 5 m, soft corals are 100% bleached a",,1
Kenya,Mombasa,Msa 3,-3.9900,39.7500,3,1998,,2,20.46,NA,,26-Mar-94,,"Tim McClanahan, WCS","Tim McClanahan, WCS",% bleached = Bleaching Index,SDD,2
Kenya,Mombasa,Msa 4,-3.9900,39.7500,3,1998,,2,10.43,NA,,26-Mar-94,,"Tim McClanahan, WCS","Tim McClanahan, WCS",% bleached = Bleaching Index,SDD,2
Kenya,Mombasa,Msa 2,-3.9900,39.7500,3,1998,,2,10.17,NA,,26-Mar-94,,"Tim McClanahan, WCS","Tim McClanahan, WCS",% bleached = Bleaching Index,SDD,2
Australia,Great Barrier Reef,Curacao,-18.6600,146.5600,3,1998,,3,62.04889604,NA,,% colonies bleached,GBRMPA and Jeff Maynard,GBRMPA and Jeff Maynard,,,SD,2
Australia,Great Barrier Reef,Rattlesnake,-19.0300,146.6000,3,1998,,3,97.01987079,NA,,% colonies bleached,GBRMPA and Jeff Maynard,GBRMPA and Jeff Maynard,,,SD,2
Australia,Great Barrier Reef,Nelly,-19.1975,146.8150,3,1998,,3,51.52824717,NA,,% colonies bleached,GBRMPA and Jeff Maynard,GBRMPA and Jeff Maynard,,,SD,2
Australia,Great Barrier Reef,Dent,-20.3400,148.9300,3,1998,,2,16.24418646,NA,,% colonies bleached,GBRMPA and Jeff Maynard,GBRMPA and Jeff Maynard,,,SD,2
Australia,Great Barrier Reef,Hamilton B,-20.3500,148.9600,3,1998,,2,41.84163219,NA,,% colonies bleached,GBRMPA and Jeff Maynard,GBRMPA and Jeff Maynard,,,SD,2
Australia,Great Barrier Reef,Hamilton A,-20.3400,148.9600,3,1998,,2,47.27182103,NA,,% colonies bleached,GBRMPA and Jeff Maynard,GBRMPA and Jeff Maynard,,,SD,2
Australia,Great Barrier Reef,Border,-20.1600,149.0300,3,1998,,1,11.29492665,NA,,% colonies bleached,GBRMPA and Jeff Maynard,GBRMPA and Jeff Maynard,,,SD,2
Australia,Great Barrier Reef,Deloraine,-20.1500,149.0700,3,1998,,1,15.34357954,NA,,% colonies bleached,GBRMPA and Jeff Maynard,GBRMPA and Jeff Maynard,,,SD,2
Vanuatu,Loltong Bay,,-15.6333,168.1167,3,1998,,-1,95,NA,,,ReefBase,,,Due to fresh water inundation and wave stress associated with Cyclone Bola. ,,1
Madagascar,Madagascar,,-19.0000,46.5600,3,1998,,2,30,NA,,,ReefBase,,,"In February and March, temperatures were 32-33¡C. ",,1
Indonesia,Gili Islands,,-8.3833,116.0500,3,1998,20,3,90,NA,,,ReefBase,,,"In August, there was high mortality, but some n\massive corals were recovering. Almost 90% of hard corals were bleached.",,1
Kenya,Watamu,Watamu North end,-3.3700,40.0100,4,1998,,3,66.95,NA,,13-Apr-94,,"Tim McClanahan, WCS","Tim McClanahan, WCS",% bleached = Bleaching Index,SDD,2
Kenya,Watamu,Watamu South end,-3.3700,40.0100,4,1998,,3,64.15,NA,,13-Apr-94,,"Tim McClanahan, WCS","Tim McClanahan, WCS",% bleached = Bleaching Index,SDD,2
Australia,Great Barrier Reef,Fantome,-18.6700,146.5100,4,1998,,3,83.09855227,NA,,% colonies bleached,GBRMPA and Jeff Maynard,GBRMPA and Jeff Maynard,,,SD,2
Australia,Great Barrier Reef,Great Palm A,-18.7100,146.5700,4,1998,,3,53.34627393,NA,,% colonies bleached,GBRMPA and Jeff Maynard,GBRMPA and Jeff Maynard,,,SD,2
Australia,Great Barrier Reef,Great Palm B,-18.7600,146.6100,4,1998,,2,45.92606042,NA,,% colonies bleached,GBRMPA and Jeff Maynard,GBRMPA and Jeff Maynard,,,SD,2
Australia,Great Barrier Reef,Bramble,-18.4000,146.7000,4,1998,,2,48.78265166,NA,,% colonies bleached,GBRMPA and Jeff Maynard,GBRMPA and Jeff Maynard,,,SD,2
Australia,Great Barrier Reef,Britomart,-18.2200,146.7300,4,1998,,3,83.85203584,NA,,% colonies bleached,GBRMPA and Jeff Maynard,GBRMPA and Jeff Maynard,,,SD,2
Australia,Great Barrier Reef,Duncan,-18.0900,146.7900,4,1998,,1,27.37680931,NA,,% colonies bleached,GBRMPA and Jeff Maynard,GBRMPA and Jeff Maynard,,,SD,2
Australia,Great Barrier Reef,Trunk,-18.3500,146.8200,4,1998,,2,44.55367392,NA,,% colonies bleached,GBRMPA and Jeff Maynard,GBRMPA and Jeff Maynard,,,SD,2
Australia,Great Barrier Reef,Kelso,-18.4300,146.9900,4,1998,,1,13.03971375,NA,,% colonies bleached,GBRMPA and Jeff Maynard,GBRMPA and Jeff Maynard,,,SD,2
Australia,Great Barrier Reef,John Brewer,-18.6300,147.0500,4,1998,,1,14.01513086,NA,,% colonies bleached,GBRMPA and Jeff Maynard,GBRMPA and Jeff Maynard,,,SD,2
Australia,Great Barrier Reef,Lodestone,-18.6900,147.1000,4,1998,,2,26.61982174,NA,,% colonies bleached,GBRMPA and Jeff Maynard,GBRMPA and Jeff Maynard,,,SD,2
Australia,Great Barrier Reef,Keeper,-18.7400,147.2700,4,1998,,1,26.04232301,NA,,% colonies bleached,GBRMPA and Jeff Maynard,GBRMPA and Jeff Maynard,,,SD,2
Australia,Great Barrier Reef,Faraday,-18.4200,147.3500,4,1998,,1,18.2265661,NA,,% colonies bleached,GBRMPA and Jeff Maynard,GBRMPA and Jeff Maynard,,,SD,2
Australia,Great Barrier Reef,Daydream,-20.2600,148.8100,4,1998,,2,39.8673843,NA,,% colonies bleached,GBRMPA and Jeff Maynard,GBRMPA and Jeff Maynard,,,SD,2
Tanzania,Tutia Island,,-8.1167,39.7000,4,1998,,3,88,NA,,,ReefBase,,,Minimal bleaching,,1
Mauritius,Trou d'Eau Douce Fir,,-20.2483,57.7950,4,1998,,1,25,NA,,,ReefBase,,, Minor bleaching; The few dead coral colonies had begun to be colonised by filamentous algae.,,1
India,"Pirotan, Meetha chusna, Ajad and Betu, Gulf of Kutch",,23.5640,69.0790,4,1998,,1,10.73,0,,point intercept transect,"Arthur. R, 1999. Rapid assessment of reef responses to elevated sea-water temperatures caused by El Ni–o Southern Oscillation (ENSO) Current System in Indian waters.  CERC Technical Report # 2, 1999, 22 pp.",,,"8.81% pale, 1.92% bleached
Favites 24.6%, Porites 23.9%, Goniopora 12.77% bleached",,1
Madagascar,Masoala,Masoala-Aquarium-George's,-15.9925,50.2199,5,1998,,3,36.21,NA,,19-May-94,,"Tim McClanahan, WCS","Tim McClanahan, WCS",% bleached = Bleaching Index,SDD,2
Madagascar,Tanjona-Masampa,Tanjona-Masampa,-15.8833,50.3000,5,1998,,2,29.52,NA,,19-May-94,,"Tim McClanahan, WCS","Tim McClanahan, WCS",% bleached = Bleaching Index,SDD,2
Kenya,Mombasa,Msa 4,-3.9900,39.7500,5,1998,,3,57.87,NA,,08-May-94,,"Tim McClanahan, WCS","Tim McClanahan, WCS",% bleached = Bleaching Index,SDD,2
Kenya,Mombasa,Msa 3,-3.9900,39.7500,5,1998,,3,57.8,NA,,08-May-94,,"Tim McClanahan, WCS","Tim McClanahan, WCS",% bleached = Bleaching Index,SDD,2
Kenya,Mombasa,Msa 2,-3.9900,39.7500,5,1998,,3,51.38,NA,,08-May-94,,"Tim McClanahan, WCS","Tim McClanahan, WCS",% bleached = Bleaching Index,SDD,2
Kenya,Mombasa,Msa 4,-3.9900,39.7500,6,1998,,3,54.3,NA,,04-Jun-94,,"Tim McClanahan, WCS","Tim McClanahan, WCS",% bleached = Bleaching Index,SDD,2
Kenya,Mombasa,Msa 2,-3.9900,39.7500,6,1998,,3,49.23,NA,,04-Jun-94,,"Tim McClanahan, WCS","Tim McClanahan, WCS",% bleached = Bleaching Index,SDD,2
Kenya,Mombasa,Msa 3,-3.9900,39.7500,6,1998,,3,46.6,NA,,04-Jun-94,,"Tim McClanahan, WCS","Tim McClanahan, WCS",% bleached = Bleaching Index,SDD,2
Australia,Great Barrier Reef,Myrmidon,-18.2600,147.3800,6,1998,,1,2.250714125,NA,,% colonies bleached,GBRMPA and Jeff Maynard,GBRMPA and Jeff Maynard,,,SD,2
India,"Kavaratti and Kadmat Island, Lakshadweep ( Laccadives )",,10.3300,72.6300,6,1998,,3,81.8,2,25.71% dead,point intercept transect,"Arthur. R, 1999. Rapid assessment of reef responses to elevated sea-water temperatures caused by El Ni–o Southern Oscillation (ENSO) Current System in Indian waters.  CERC Technical Report # 2, 1999, 22 pp.",,,"26% pale, 30.09% bleached, 25.71% dead
Acropora 12.41%, Porites 57.95%, Pavona 10.94% bleached",,1
Bahamas,Gaulin's Forereef #1,,24.1600,-74.4600,6,1998,10.3,1,6.451612903,NA,,AGRRA survey method; assessement of colonies along line transect; number colonies for this site = 93,Atlantic and Gulf Rapid Reef Assessment (AGRRA) Database (www.agrra.org). Batch: Bahamas-1998A,,,,,1
Bahamas,Gaulin's Forereef #2,,24.1700,-74.4800,6,1998,8,1,0.833333333,NA,,AGRRA survey method; assessement of colonies along line transect; number colonies for this site = 120,Atlantic and Gulf Rapid Reef Assessment (AGRRA) Database (www.agrra.org). Batch: Bahamas-1998A,,,,,1
Bahamas,Gaulin's Forereef #3,,24.1400,-74.4500,6,1998,5.7,1,1.428571429,NA,,AGRRA survey method; assessement of colonies along line transect; number colonies for this site = 70,Atlantic and Gulf Rapid Reef Assessment (AGRRA) Database (www.agrra.org). Batch: Bahamas-1998A,,,,,1
Bahamas,"Gaulin's Reef A, backreef",,24.1500,-74.4700,6,1998,6.4,1,2.941176471,NA,,AGRRA survey method; assessement of colonies along line transect; number colonies for this site = 68,Atlantic and Gulf Rapid Reef Assessment (AGRRA) Database (www.agrra.org). Batch: Bahamas-1998A,,,,,1
Bahamas,"Gaulin's Reef B, backreef",,24.1600,-74.4800,6,1998,4.1,1,3.448275862,NA,,AGRRA survey method; assessement of colonies along line transect; number colonies for this site = 87,Atlantic and Gulf Rapid Reef Assessment (AGRRA) Database (www.agrra.org). Batch: Bahamas-1998A,,,,,1
Bahamas,Snapshot Reef,,24.0400,-74.5400,6,1998,4.2,1,2.298850575,NA,,AGRRA survey method; assessement of colonies along line transect; number colonies for this site = 87,Atlantic and Gulf Rapid Reef Assessment (AGRRA) Database (www.agrra.org). Batch: Bahamas-1998A,,,,,1
Bahamas,Snapshot Reef,,24.0400,-74.5400,6,1998,4.2,1,2.298850575,NA,,AGRRA survey method; assessement of colonies along line transect; number colonies for this site = 87,Atlantic and Gulf Rapid Reef Assessment (AGRRA) Database (www.agrra.org). Batch: Bahamas-1998A,,,,,1
Bahamas,Telephone Pole Reef,,24.0300,-74.5400,6,1998,4.4,1,3.225806452,NA,,AGRRA survey method; assessement of colonies along line transect; number colonies for this site = 124,Atlantic and Gulf Rapid Reef Assessment (AGRRA) Database (www.agrra.org). Batch: Bahamas-1998A,,,,,1
India,"Manauli Putti, Shingle and Pumarichan in Gulf of Mannar",,9.0230,78.2200,7,1998,,3,89.26,2,23% dead,point intercept transect,"Arthur. R, 1999. Rapid assessment of reef responses to elevated sea-water temperatures caused by El Ni–o Southern Oscillation (ENSO) Current System in Indian waters.  CERC Technical Report # 2, 1999, 22 pp.",,,"24.98% pale, 41.26 % bleached, 23% dead
Montipora 35.77%, table Acropora 22.02%, Porites 14.51% , Turbinaria 9.47% bleached",,1
Philippines ,Danjugan Island,Convention Reef,9.8680,122.3800,8,1998,6-18m,3,50,NA,,Quadrants,Berger et al. 2001,"BERGER,M.; SOLANDT,J.L., and DACLES,T.",,,EH,2
Philippines ,Danjugan Island,Hilarys Reef ,9.8720,122.3800,8,1998,6-18m,3,80,NA,,Quadrants,Berger et al. 2001,"BERGER,M.; SOLANDT,J.L., and DACLES,T.",,,EH,2
Bahamas,AUTEC 2 (D18),,24.5064,-77.6970,8,1998,12.6,1,12.98701299,NA,,AGRRA survey method; assessement of colonies along line transect; number colonies for this site = 77,Atlantic and Gulf Rapid Reef Assessment (AGRRA) Database (www.agrra.org). Batch: Bahamas-1998B,,,,,1
Bahamas,AUTEC 2 South (D19),,24.4833,-77.6965,8,1998,10.6,1,8.870967742,NA,,AGRRA survey method; assessement of colonies along line transect; number colonies for this site = 124,Atlantic and Gulf Rapid Reef Assessment (AGRRA) Database (www.agrra.org). Batch: Bahamas-1998B,,,,,1
Bahamas,AUTEC 2 South (S16),,24.4840,-77.6990,8,1998,0.9,1,4.347826087,NA,,AGRRA survey method; assessement of colonies along line transect; number colonies for this site = 69,Atlantic and Gulf Rapid Reef Assessment (AGRRA) Database (www.agrra.org). Batch: Bahamas-1998B,,,,,1
Bahamas,AUTEC 3 (D21),,24.3432,-77.6707,8,1998,10.5,1,6.382978723,NA,,AGRRA survey method; assessement of colonies along line transect; number colonies for this site = 141,Atlantic and Gulf Rapid Reef Assessment (AGRRA) Database (www.agrra.org). Batch: Bahamas-1998B,,,,,1
Bahamas,AUTEC 3 (S19),,24.3432,-77.6707,8,1998,1.1,1,8.181818182,NA,,AGRRA survey method; assessement of colonies along line transect; number colonies for this site = 110,Atlantic and Gulf Rapid Reef Assessment (AGRRA) Database (www.agrra.org). Batch: Bahamas-1998B,,,,,1
Bahamas,Big Wood (S18),,24.3670,-77.6824,8,1998,1.4,1,7.339449541,NA,,AGRRA survey method; assessement of colonies along line transect; number colonies for this site = 109,Atlantic and Gulf Rapid Reef Assessment (AGRRA) Database (www.agrra.org). Batch: Bahamas-1998B,,,,,1
Bahamas,Bristol Galley (D17),,24.5263,-77.6892,8,1998,11.2,1,5.833333333,NA,,AGRRA survey method; assessement of colonies along line transect; number colonies for this site = 120,Atlantic and Gulf Rapid Reef Assessment (AGRRA) Database (www.agrra.org). Batch: Bahamas-1998B,,,,,1
Bahamas,China Point (S10),,24.7513,-77.8077,8,1998,1,1,10.09174312,NA,,AGRRA survey method; assessement of colonies along line transect; number colonies for this site = 109,Atlantic and Gulf Rapid Reef Assessment (AGRRA) Database (www.agrra.org). Batch: Bahamas-1998B,,,,,1
Bahamas,Congo Town (D24),,24.3012,-77.6479,8,1998,10.1,1,4.093567251,NA,,AGRRA survey method; assessement of colonies along line transect; number colonies for this site = 171,Atlantic and Gulf Rapid Reef Assessment (AGRRA) Database (www.agrra.org). Batch: Bahamas-1998B,,,,,1
Bahamas,Congo Town (S23),,24.3013,-77.6479,8,1998,1.2,1,9.420289855,NA,,AGRRA survey method; assessement of colonies along line transect; number colonies for this site = 138,Atlantic and Gulf Rapid Reef Assessment (AGRRA) Database (www.agrra.org). Batch: Bahamas-1998B,,,,,1
Bahamas,Green Cay (D15),,24.5958,-77.6933,8,1998,11.1,1,7.792207792,NA,,AGRRA survey method; assessement of colonies along line transect; number colonies for this site = 77,Atlantic and Gulf Rapid Reef Assessment (AGRRA) Database (www.agrra.org). Batch: Bahamas-1998B,,,,,1
Bahamas,High Point Cay (D27),,24.3432,-77.6707,8,1998,9.3,1,9.523809524,NA,,AGRRA survey method; assessement of colonies along line transect; number colonies for this site = 147,Atlantic and Gulf Rapid Reef Assessment (AGRRA) Database (www.agrra.org). Batch: Bahamas-1998B,,,,,1
Bahamas,Long Bay Cay (D25),,24.0997,-77.5334,8,1998,10.4,1,6.289308176,NA,,AGRRA survey method; assessement of colonies along line transect; number colonies for this site = 159,Atlantic and Gulf Rapid Reef Assessment (AGRRA) Database (www.agrra.org). Batch: Bahamas-1998B,,,,,1
Bahamas,Long Bay Cay (S24),,24.0979,-77.5370,8,1998,1.1,3,80.48780488,NA,,AGRRA survey method; assessement of colonies along line transect; number colonies for this site = 123,Atlantic and Gulf Rapid Reef Assessment (AGRRA) Database (www.agrra.org). Batch: Bahamas-1998B,,,,,1
